area,MAG_AUTO_F444W,MAGERR_AUTO_F444W,KRON_RADIUS_F444W,PETRO_RADIUS_F444W,ALPHA_J2000_F444W,DELTA_J2000_F444W,A_IMAGE_F444W,B_IMAGE_F444W,THETA_IMAGE_F444W,ELONGATION_F444W,ELLIPTICITY_F444W,CLASS_STAR_F444W,FLUX_RADIUS_F444W,idx42,d2d42,MAG_AUTO_F277W,MAGERR_AUTO_F277W,KRON_RADIUS_F277W,PETRO_RADIUS_F277W,ALPHA_J2000_F277W,DELTA_J2000_F277W,A_IMAGE_F277W,B_IMAGE_F277W,THETA_IMAGE_F277W,ELONGATION_F277W,ELLIPTICITY_F277W,CLASS_STAR_F277W,FLUX_RADIUS_F277W,idx415,d2d415,MAG_AUTO_F150W,MAGERR_AUTO_F150W,KRON_RADIUS_F150W,PETRO_RADIUS_F150W,ALPHA_J2000_F150W,DELTA_J2000_F150W,A_IMAGE_F150W,B_IMAGE_F150W,THETA_IMAGE_F150W,ELONGATION_F150W,ELLIPTICITY_F150W,CLASS_STAR_F150W,FLUX_RADIUS_F150W,idx411,d2d411,MAG_AUTO_F115W,MAGERR_AUTO_F115W,KRON_RADIUS_F115W,PETRO_RADIUS_F115W,ALPHA_J2000_F115W,DELTA_J2000_F115W,A_IMAGE_F115W,B_IMAGE_F115W,THETA_IMAGE_F115W,ELONGATION_F115W,ELLIPTICITY_F115W,CLASS_STAR_F115W,FLUX_RADIUS_F115W
4,26.678170583376268,0.0544359276743367,4.27,5.94,150.16514386922344,2.044761422188198,2.79,1.988,37.76,1.404,0.288,0.105,3.715,420112.0,0.0271313250675098,27.73331625557028,0.0728799948842041,3.5,5.28,150.16513818727032,2.04476637749123,2.194,1.355,44.15,1.619,0.383,0.001,2.47,93056.0,0.0118085014766089,27.284394877392863,0.13656471120359,4.72,7.26,150.16514502241918,2.044764493205363,1.896,0.933,65.66,2.031,0.508,0.0,2.343,238751.0,0.0059784278959538,26.648755121335626,0.1363258601074864,7.43,10.56,150.165144,2.044763,1.748,0.871,55.75,2.007,0.502,0.0,4.728
4,26.334758130631258,0.0620578810087749,6.46,10.56,150.1973198740711,2.0346047644698584,2.821,2.114,-33.85,1.334,0.25,0.099,5.191,420482.0,0.0037317890065932,27.49680036544364,0.058102157700958,3.5,5.94,150.19731883693964,2.0346047480252825,1.814,1.615,-42.54,1.123,0.11,0.099,2.342,93441.0,0.0203811243768936,27.45008048569585,0.1384820865536855,4.68,5.94,150.19731446968473,2.0346064618614887,1.225,1.162,75.5,1.054,0.052,0.0,1.654,239275.0,0.0324200212682151,27.06871600094849,0.0994022915204138,3.5,5.28,150.197312,2.034609,1.577,1.082,41.34,1.457,0.314,0.0,1.98
4,25.30522921390008,0.0363566277259096,11.53,6.6,150.2912224074048,2.004493178515637,2.315,1.839,-30.98,1.259,0.206,0.005,11.562,13236.0,0.0374663591026645,27.0286400992176,0.0647802457473632,4.35,5.94,150.2912317982732,2.0044976764969427,2.538,1.975,-79.87,1.285,0.222,0.002,2.901,94394.0,0.049772387779073,26.9722262077167,0.120802528906978,6.26,8.58,150.29123607683528,2.00449530554212,1.417,1.017,-34.81,1.393,0.282,0.097,2.907,240512.0,0.0235115587574015,26.393068171525226,0.1198443325530539,5.46,7.26,150.291219,2.004487,2.552,1.357,-35.85,1.88,0.468,0.0,3.912
4,27.00095145612261,0.0767710205106807,7.97,10.56,150.26699671483112,2.052337632294773,1.482,1.181,70.75,1.255,0.203,0.709,6.728,430352.0,0.0144386961935167,27.970790676594746,0.1069816524823269,4.82,5.94,150.26699272946874,2.052337159680474,1.599,1.351,53.07,1.183,0.155,0.097,2.326,101846.0,0.0332289994113746,26.95944960601565,0.102029800815434,4.27,5.28,150.2669990227909,2.0523286948355124,1.682,1.36,42.29,1.236,0.191,0.0,2.319,249975.0,0.03401996964352,27.042497202940616,0.1444220101991563,5.37,5.28,150.266998,2.052328,1.297,1.203,-21.02,1.078,0.073,0.0,1.944
4,26.479519587363537,0.072173765613039,7.71,10.56,150.23376185958185,2.0702738527649345,2.451,1.76,2.51,1.393,0.282,0.002,7.626,432089.0,0.0297338138384347,27.51736117949155,0.0666109166187668,3.5,6.6,150.2337575573899,2.070266800611547,2.445,1.497,-41.01,1.633,0.388,0.003,3.365,103252.0,0.0665612663701956,26.010927074970176,0.0981230272457818,6.83,5.94,150.23378018255025,2.070271291712684,3.14,1.506,-25.58,2.086,0.521,0.0,5.445,251729.0,0.0343404554407192,26.482183512000983,0.1276939272692713,6.39,3.5,150.233753,2.070278,1.621,1.518,-51.53,1.068,0.064,0.0,3.456
4,24.986988179049533,0.0111923334526124,3.5,3.96,150.3050874447741,2.0494196836951857,3.115,2.49,25.69,1.251,0.201,0.977,2.882,434270.0,0.0219319899342223,26.09795064470441,0.0283139490317504,4.24,5.28,150.30504346692186,2.0494372965407304,3.017,2.053,12.43,1.47,0.32,0.751,2.608,375345.0,0.0106326464201567,25.388773493033504,0.0225725338418385,3.54,3.5,150.30508470573943,2.049420792984187,1.706,1.47,-35.24,1.161,0.138,0.739,1.396,111800.0,0.0018979396355644,25.38865542531523,0.0257041027227277,3.5,3.5,150.305087,2.049419,1.579,1.324,12.5,1.193,0.162,0.051,1.291
4,26.033363733456696,0.0514861256209248,7.43,10.56,150.31293664358347,2.0683860735301587,2.771,1.941,85.42,1.428,0.3,0.002,8.915,25106.0,0.0407113220786166,27.21921353629616,0.0730835503180789,4.3,5.94,150.31292581185508,2.068382800426996,2.994,1.547,-83.58,1.936,0.483,0.0,3.46,108208.0,0.0109847590044159,26.11499878499309,0.0821223793805342,5.32,10.56,150.31293448844238,2.068388235007167,3.017,1.508,-81.27,2.001,0.5,0.003,4.616,256929.0,0.0266021158516056,26.559247219798053,0.0938173108949293,4.2,5.94,150.312933,2.068393,2.383,1.142,-87.74,2.087,0.521,0.001,2.201
4,24.581622370988807,0.0086965393465773,3.5,3.5,150.2673729109688,2.091634740931682,3.274,3.058,4.63,1.071,0.066,0.976,3.13,441260.0,0.0321610205029993,26.50583783742933,0.0279270746701281,3.5,4.62,150.2673304281932,2.091656242484232,2.155,1.951,57.56,1.105,0.095,0.078,2.396,109389.0,0.0261337645557322,27.311857711517504,0.0990395666245751,3.69,5.28,150.26737734928318,2.0916404877734127,1.41,1.049,35.22,1.344,0.256,0.012,1.595,258073.0,0.0240398232051593,26.71667108252484,0.1016467327702097,4.84,4.62,150.267376,2.09164,1.638,1.084,43.96,1.511,0.338,0.001,1.924
3,25.914346718051966,0.0367244850244316,5.29,9.24,150.01576037399167,2.066719780942185,2.672,2.458,-16.95,1.087,0.08,0.573,4.032,95714.0,0.0180870357373677,27.173480935618866,0.0560726461258377,4.27,5.94,150.01576459622336,2.0667225082660274,1.849,1.773,-86.74,1.043,0.041,0.084,2.427,247600.0,0.0099710832794342,27.152573164968786,0.080735847536053,3.5,4.62,150.01576271571037,2.066721262486878,1.255,1.123,1.97,1.117,0.105,0.009,1.45,417383.0,0.0133433972093956,27.00300305818953,0.134235334987593,5.38,6.6,150.015764,2.066721,1.497,0.976,-13.15,1.534,0.348,0.0,2.038
3,25.99138424985452,0.0556098650627479,6.44,10.56,150.05009570865062,2.065511777786239,4.534,1.933,-83.72,2.346,0.574,0.005,7.93,308309.0,0.0194164781283396,27.31662510372709,0.0671543778194184,4.19,5.94,150.05009635889238,2.06550642360918,2.422,1.565,-83.11,1.547,0.354,0.009,2.591,249098.0,0.0384892921223043,26.788714285494013,0.124001094992405,6.94,4.62,150.05009818692048,2.065501377128164,1.764,0.912,74.15,1.933,0.483,0.0,4.328,418759.0,0.0468520417217578,26.781135654001297,0.1535835848175859,7.42,10.56,150.050109,2.06551,1.808,0.837,-86.0,2.161,0.537,0.0,4.198
