Teff,logg,logZ,CtoO,logKzz,F115W,F150W,F277W,F444W
500,4.0,+1.0,0.85,-1,-28.701922964680648,-27.064346000197332,-26.20796776282844,-30.478159570419603
500,4.0,+1.0,0.85,2,-28.488382000287302,-27.124944095339817,-26.800951390669375,-29.685248140557626
500,4.0,+1.0,0.85,10,-28.721670268750685,-27.363363823783736,-26.995824421180664,-29.210869326623556
500,4.5,-2.5,0.1,-1,-24.59567695382995,-26.77439184293233,-27.054677279486388,-30.765955992814984
500,4.5,-2.5,0.1,2,-24.595377361151314,-26.774285655340243,-27.05490534575974,-30.765931307183116
500,4.5,-2.5,0.1,10,-24.651428150476008,-26.77681039387617,-27.039673729431883,-30.773128853227117
500,4.5,-2.5,0.55,-1,-24.843075986502868,-26.993839531178715,-27.170184394231434,-30.816239988534203
500,4.5,-2.5,0.55,2,-24.80710219393846,-26.971086778031275,-27.172311831828374,-30.815633147457685
500,4.5,-2.5,0.55,10,-24.82360977727698,-26.915516935830667,-27.157946343129108,-30.820996612867823
500,4.5,-2.5,0.85,-1,-24.789829144934586,-27.062051237350286,-27.1597480975473,-30.80904368329334
500,4.5,-2.5,0.85,2,-24.792458366190395,-27.06458355129336,-27.16408729414934,-30.811298053207572
500,4.5,-2.5,0.85,10,-24.85520088043462,-27.043464146074786,-27.14885586872517,-30.82032964234895
500,4.5,-2.0,0.1,-1,-25.17919511169152,-26.71755140141018,-26.880736287102444,-30.87792761908224
500,4.5,-2.0,0.1,2,-25.188092597383772,-26.71423183160517,-26.886389569377208,-30.87616513118068
500,4.5,-2.0,0.1,10,-25.22761558687783,-26.699972629822362,-26.870118638093444,-30.881894154586334
500,4.5,-2.0,0.55,-1,-25.418881121380412,-26.99152102316097,-27.03283529985704,-30.937141013173278
500,4.5,-2.0,0.55,2,-25.454082914502866,-27.003943367620487,-27.030504471116366,-30.932710734109673
500,4.5,-2.0,0.55,10,-25.47201973312586,-26.96759093131998,-27.013075160533845,-30.942984447083237
500,4.5,-2.0,0.85,-1,-25.43915294854814,-27.04195658101306,-27.079141954563774,-30.929509473353484
500,4.5,-2.0,0.85,2,-25.449621251056897,-27.045597685545054,-27.08114032341208,-30.929621769328392
500,4.5,-2.0,0.85,10,-25.50995794960675,-27.00244368458297,-27.05879599146732,-30.94167709879312
500,4.5,-1.5,0.1,-1,-25.981754051755217,-26.64547313042801,-26.53753207383183,-30.984655277762258
500,4.5,-1.5,0.1,2,-25.963173742278265,-26.649499729602596,-26.54911185816754,-30.98511979266084
500,4.5,-1.5,0.1,10,-26.0101852258622,-26.662305036029586,-26.54775625868688,-30.98359781929675
500,4.5,-1.5,0.55,-1,-26.274061791585602,-26.903605179107878,-26.74255685502789,-31.036510793960378
500,4.5,-1.5,0.55,2,-26.242874483014997,-26.90719318165545,-26.774609279309423,-31.040037093474734
500,4.5,-1.5,0.55,10,-26.326840946716228,-26.928063789605897,-26.771133447927244,-31.03244520691024
500,4.5,-1.5,0.85,-1,-26.258873916523182,-26.945282011592113,-26.8310927912136,-31.038739354695323
500,4.5,-1.5,0.85,2,-26.268639536454025,-26.970910318528215,-26.842541256998935,-31.039687307518506
500,4.5,-1.5,0.85,10,-26.340136962528902,-26.96560596326819,-26.83224244635301,-31.02519629836342
500,4.5,-1.0,0.1,-1,-26.936546980011173,-26.83089542664634,-26.073105321095067,-31.001015662415657
500,4.5,-1.0,0.1,2,-26.886129295707374,-26.876232357386662,-26.14674799198746,-30.998878644743733
500,4.5,-1.0,0.1,10,-26.917873886514165,-26.969134791308772,-26.22594624875464,-30.984073945425653
500,4.5,-1.0,0.55,-1,-27.210950647417036,-26.968857705058944,-26.361081633411313,-31.04722554438885
500,4.5,-1.0,0.55,2,-27.20175077118883,-27.061393162732795,-26.453893978430557,-31.047384305923952
500,4.5,-1.0,0.55,10,-27.250902309814542,-27.1763907231789,-26.58755391163599,-30.989685055778953
500,4.5,-1.0,0.85,-1,-27.19505380928681,-26.955350533500948,-26.459502118914912,-31.048424445618803
