Teff,log_g,[M/H],F115W,F150W,F277W,F444W
700,2.5,0.0,18.30664315398161,18.551623903491482,19.1160425630342,16.979108697896546
700,2.5,0.3,18.615864347082486,18.605904486007827,19.112916047578025,17.046910066423326
700,3.0,-1.0,18.043098228469642,18.7555807276837,19.075543403945503,16.714303960921406
700,3.0,-0.5,17.93900841447567,18.739371742974832,19.05913643547256,16.91805973285342
700,3.0,0.0,18.037525680840517,18.706289025098954,19.043826954491987,17.00098679863389
700,3.0,0.3,18.292010082974134,18.72440200628574,19.004782845154434,17.03157809894693
700,3.5,-1.0,18.15969455321926,18.905599995505234,19.0885845364356,16.57981817218399
700,3.5,-0.5,17.961158401001917,18.87313340401764,18.998360282096826,16.86119579922723
700,3.5,0.0,17.95729996757334,18.888902612103845,18.95094250056015,17.011014009061256
700,3.5,0.3,18.097439478132237,18.91180993443141,18.889723983102122,17.014094362835547
700,4.0,-1.0,18.423677652450767,19.09025247176517,19.069990033913797,16.341555370340064
700,4.0,-0.5,18.117269619969207,19.002479780291786,18.996512087274475,16.648718005384847
700,4.0,0.0,18.016572288180036,18.9497334040696,18.882665505807154,16.90124828364364
700,4.0,0.3,18.080636796358995,18.94141430649905,18.833838354157496,16.9694228646528
700,4.5,-1.0,18.80136271161316,19.225256758384145,19.033185540929065,16.129363378884428
700,4.5,-0.5,18.406000215614668,19.092328301247996,19.05764053870659,16.36061773219098
700,4.5,0.0,18.1554160204889,18.925477998390804,18.946861483975546,16.695069655179548
700,4.5,0.3,18.108207854161403,18.87226257140987,18.87625161364467,16.87668486080415
700,5.0,-1.0,19.22141700516481,19.2462075493225,18.998762243152072,15.981347257547295
700,5.0,-0.5,18.72214216806403,19.09145096805858,19.109410423365286,16.14743037612174
700,5.0,0.0,18.30083192877806,18.911350769861702,19.111675610703323,16.430377693329167
700,5.0,0.3,18.124112023387287,18.817229129562673,19.033605169396846,16.678617788200526
700,5.5,-1.0,19.580824855882497,19.22693933714043,18.959265029945527,15.892620782119366
700,5.5,-0.5,18.982723864137952,19.08286522265387,19.1567212868847,16.00468230013679
700,5.5,0.0,18.455957669184645,18.89883544987234,19.245705155782105,16.203932005198368
700,5.5,0.3,18.17111896477821,18.7786865812536,19.28237752776351,16.40854453096599
800,2.5,-1.0,17.269911405263286,17.867268139214953,18.308335054681088,16.2650533633986
800,2.5,-0.5,17.353218655684522,17.789201113167866,18.341387749979706,16.389367222872664
800,2.5,0.0,17.775412858014775,17.817086184534002,18.34083166039892,16.506008386746412
800,2.5,0.3,18.07299859624744,17.915833002804327,18.311116683556317,16.545439815564112
800,3.0,-1.0,17.224046315975087,17.943805290526605,18.31855569472944,16.279871225504976
800,3.0,-0.5,17.21651655716188,17.91400559272447,18.349350664679047,16.44061504172323
800,3.0,0.0,17.493746463755002,17.89142533069208,18.261835491901067,16.49136288958256
800,3.0,0.3,17.734932011214863,17.90759018620584,18.232752050321974,16.528078499211844
800,3.5,-1.0,17.281739431912314,18.082092484509147,18.304604009585255,16.200556657758018
800,3.5,-0.5,17.185498992738605,18.056411268861442,18.25490662166289,16.419453759145775
800,3.5,0.0,17.3058597220921,18.045232626938013,18.184234803151963,16.511166038340278
800,3.5,0.3,17.48851964541458,18.00360061550585,18.1434216805511,16.52231374048465
800,4.0,-1.0,17.439911987341322,18.210288116131814,18.276727207886466,15.994213547733569
800,4.0,-0.5,17.26133618675692,18.148711358709544,18.220114785123968,16.270109721716796
800,4.0,0.0,17.279002220885047,18.099171329183626,18.130234094875462,16.459517867177333
800,4.0,0.3,17.362715261732934,18.074156447965454,18.126335634110607,16.527993673289973
800,4.5,-1.0,17.699585838568208,18.269827136326203,18.23820269792098,15.771588189280186
800,4.5,-0.5,17.435869740115574,18.171853504486222,18.26379248334544,16.018949032041597
800,4.5,0.0,17.31003701421094,18.065758102166413,18.18546401692705,16.342989873202733
800,4.5,0.3,17.316091211828038,18.027587885503586,18.1484757628879,16.478701912117582
800,5.0,-1.0,18.006919330205392,18.235347795640834,18.191720771002785,15.611491305153965
800,5.0,-0.5,17.645498272775846,18.131196698348898,18.314386607836393,15.80046122169522
800,5.0,0.0,17.36608905786762,18.030954093580597,18.3285813276941,16.135161931130416
800,5.0,0.3,17.26758789831384,17.978226392081883,18.288155296715107,16.384110461542413
800,5.5,-1.0,18.267079720530266,18.196794412130206,18.15606658203086,15.517532844393134
