Teff,log(g),mass,R/Rsun,F115W,F150W,F277W,F444W,Z
2300.0,3.505,6.22,0.2254,10.932315622282232,10.98481562228223,11.437065622282232,11.412565622282232,0.5
2400.0,3.505,7.09,0.2406,10.620815622282231,10.64231562228223,11.089315622282232,11.14706562228223,0.5
200.0,4.0,4.41,0.1074,34.901315622282226,32.20006562228223,32.449065622282234,21.316315622282232,0.5
225.0,4.0,4.5,0.1084,32.586065622282234,30.519065622282227,30.94106562228223,20.66431562228223,0.5
250.0,4.0,4.58,0.1094,30.55781562228223,29.07506562228223,29.59956562228223,20.092315622282232,0.5
275.0,4.0,4.67,0.1105,28.790065622282235,27.827065622282234,28.41481562228223,19.587565622282234,0.5
300.0,4.0,4.75,0.1115,27.24856562228223,26.740815622282234,27.366065622282232,19.13906562228223,0.5
325.0,4.0,4.84,0.1125,25.897315622282232,25.78631562228223,26.43331562228223,18.73881562228223,0.5
350.0,4.0,4.92,0.1135,24.72731562228223,24.952815622282234,25.61506562228223,18.38606562228223,0.5
375.0,4.0,5.01,0.1144,23.657815622282232,24.178065622282233,24.85681562228223,18.058065622282232,0.5
400.0,4.0,5.1,0.1154,22.712565622282234,23.474565622282235,24.176565622282233,17.762065622282233,0.5
425.0,4.0,5.18,0.1164,21.872815622282232,22.82756562228223,23.56281562228223,17.493315622282232,0.5
450.0,4.0,5.26,0.1173,21.132565622282232,22.23381562228223,23.011565622282234,17.250815622282232,0.5
475.0,4.0,5.33,0.1181,20.48706562228223,21.69331562228223,22.52006562228223,17.034315622282232,0.5
500.0,4.0,5.39,0.1187,19.94406562228223,21.19831562228223,22.07706562228223,16.840065622282232,0.5
525.0,4.0,5.44,0.1193,19.47681562228223,20.74306562228223,21.67356562228223,16.663065622282232,0.5
550.0,4.0,5.5,0.1199,19.073815622282233,20.32881562228223,21.29156562228223,16.50031562228223,0.5
575.0,4.0,5.56,0.1205,18.72381562228223,19.95756562228223,20.91631562228223,16.351315622282232,0.5
600.0,4.0,5.61,0.1212,18.403565622282233,19.61881562228223,20.56456562228223,16.21331562228223,0.5
650.0,4.0,5.72,0.1223,17.858065622282233,19.01256562228223,19.92331562228223,15.969315622282231,0.5
700.0,4.0,5.83,0.1235,17.38381562228223,18.48556562228223,19.366315622282233,15.755065622282231,0.5
750.0,4.0,5.94,0.1246,16.968065622282232,18.01981562228223,18.872315622282233,15.561315622282233,0.5
800.0,4.0,6.05,0.1258,16.597565622282232,17.599065622282232,18.43131562228223,15.38556562228223,0.5
850.0,4.0,6.17,0.127,16.26381562228223,17.21681562228223,18.02806562228223,15.223065622282233,0.5
900.0,4.0,6.29,0.1282,15.96106562228223,16.864815622282233,17.65431562228223,15.070565622282231,0.5
950.0,4.0,6.41,0.1295,15.686065622282232,16.54206562228223,17.29606562228223,14.92456562228223,0.5
1000.0,4.0,6.54,0.1308,15.434065622282231,16.23831562228223,16.95531562228223,14.785315622282232,0.5
1100.0,4.0,6.81,0.1335,14.984565622282231,15.663565622282231,16.312065622282233,14.520815622282232,0.5
1200.0,4.0,7.1,0.1363,14.599065622282232,15.130565622282234,15.721315622282233,14.268065622282231,0.5
1300.0,4.0,7.41,0.1392,14.252565622282232,14.638065622282232,15.196315622282233,14.018565622282232,0.5
1400.0,4.0,7.72,0.1421,13.92906562228223,14.197815622282231,14.753565622282231,13.772565622282231,0.5
1500.0,4.0,8.06,0.1452,13.626815622282232,13.819065622282231,14.385565622282233,13.54206562228223,0.5
1600.0,4.0,8.42,0.1483,13.333315622282232,13.481565622282233,14.057065622282233,13.329815622282233,0.5
1700.0,4.0,8.8,0.1517,13.043815622282231,13.165065622282231,13.729565622282232,13.124065622282233,0.5
1800.0,4.0,9.24,0.1554,12.757315622282231,12.86356562228223,13.44206562228223,12.934065622282231,0.5
1900.0,4.0,9.73,0.1595,12.472565622282232,12.566815622282231,13.15731562228223,12.743565622282231,0.5
